source_id	source_uid	pair_id	good_stem	bad_stem	good_source	bad_source	embedded_type	cv_thatS_mean	tv_NPVNP_mean	tv_thatS_mean	mega_cv_example	mega_tv_example
1	megaacceptability_v2	1	write	weigh	The reporter writes that the child laughed.	The reporter weighs that the child laughed.	iv	7.000	7.000	2.600	Someone wrote that something happened.	Someone weighed something.
2	megaacceptability_v2	2	brag	grill	The teacher brags that the train arrived.	The teacher grills that the train arrived.	iv	7.000	6.929	3.800	Someone bragged that something happened.	Someone was grilling something.
3	megaacceptability_v2	3	doubt	crush	The manager doubts that a student slept.	The manager crushes that a student slept.	iv	6.933	6.867	3.000	Someone doubted that something happened.	Someone crushed something.
4	megaacceptability_v2	4	accept	mail	The neighbor accepts that the driver waited.	The neighbor mails that the driver waited.	iv	6.933	6.867	3.600	Someone accepted that something happened.	Someone mailed something.
5	megaacceptability_v2	5	swear	arrange	The nurse swears that the dog barked.	The nurse arranges that the dog barked.	iv	6.867	6.867	3.800	Someone swore that something happened.	Someone arranged something.
6	megaacceptability_v2	6	pretend	shatter	The doctor pretends that the baby cried.	The doctor shatters that the baby cried.	iv	6.867	6.800	2.000	Someone pretended that something happened.	Someone shattered something.
7	megaacceptability_v2	7	murmur	pursue	The clerk murmurs that the guests left.	The clerk pursues that the guests left.	iv	6.867	6.800	2.000	Someone murmured that something happened.	Someone pursued something.
8	megaacceptability_v2	8	guess	pause	The student guesses that the doorbell rang.	The student pauses that the doorbell rang.	iv	6.867	6.800	3.000	Someone guessed that something happened.	Someone paused something.
9	megaacceptability_v2	9	ensure	censor	The parent ensures that the team rested.	The parent censors that the team rested.	iv	6.867	6.800	3.200	Someone ensured that something happened.	Someone censored something.
10	megaacceptability_v2	10	dream	press	The coach dreams that the patient coughed.	The coach presses that the patient coughed.	iv	6.857	6.800	3.400	Someone dreamt that something happened.	Someone pressed something.
11	megaacceptability_v2	11	post	worship	The officer posts that the bird flew.	The officer worships that the bird flew.	iv	6.800	6.733	2.600	Someone posted that something happened.	Someone worshipped something.
12	megaacceptability_v2	12	confirm	control	The worker confirms that the crowd moved.	The worker controls that the crowd moved.	iv	6.800	6.733	2.800	Someone confirmed that something happened.	Someone controlled something.
13	megaacceptability_v2	13	complain	sanction	The analyst complains that the water rose.	The analyst sanctions that the water rose.	iv	6.800	6.733	3.200	Someone complained that something happened.	Someone sanctioned something.
14	megaacceptability_v2	14	announce	design	The editor announces that a customer smiled.	The editor designs that a customer smiled.	iv	6.800	6.733	3.200	Someone announced that something happened.	Someone designed something.
15	megaacceptability_v2	15	acknowledge	correct	The guide acknowledges that the engine stopped.	The guide corrects that the engine stopped.	iv	6.800	6.733	3.200	Someone acknowledged that something happened.	Someone corrected something.
16	megaacceptability_v2	16	yell	negotiate	The assistant yells that the senator spoke.	The assistant negotiates that the senator spoke.	iv	6.733	6.733	3.600	Someone yelled that something happened.	Someone negotiated something.
17	megaacceptability_v2	17	whisper	direct	The principal whispers that the child fell.	The principal directs that the child fell.	iv	6.733	6.733	3.800	Someone whispered that something happened.	Someone directed something.
18	megaacceptability_v2	18	say	tackle	The researcher says that the player stayed.	The researcher tackles that the player stayed.	iv	6.733	6.667	1.200	Someone said that something happened.	Someone tackled something.
19	megaacceptability_v2	19	reveal	audit	The captain reveals that the phone rang.	The captain audits that the phone rang.	iv	6.733	6.667	1.800	Someone revealed that something happened.	Someone audited something.
20	megaacceptability_v2	20	read	draw	The guard reads that the meeting ended.	The guard draws that the meeting ended.	iv	6.733	6.667	2.400	Someone read that something happened.	Someone drew something.
21	megaacceptability_v2	21	overhear	mock	The lawyer overhears that the witness waited.	The lawyer mocks that the witness waited.	iv	6.733	6.667	3.200	Someone overheard that something happened.	Someone mocked something.
22	megaacceptability_v2	22	mention	renegotiate	The banker mentions that the cat slept.	The banker renegotiates that the cat slept.	iv	6.733	6.667	3.800	Someone mentioned that something happened.	Someone renegotiated something.
23	megaacceptability_v2	23	infer	prepare	The host infers that the room emptied.	The host prepares that the room emptied.	iv	6.733	6.600	2.400	Someone inferred that something happened.	Someone prepared something.
24	megaacceptability_v2	24	imagine	finish	The caller imagines that the alarm sounded.	The caller finishes that the alarm sounded.	iv	6.733	6.600	2.400	Someone imagined that something happened.	Someone finished something.
25	megaacceptability_v2	25	admit	label	The witness admits that the market changed.	The witness labels that the market changed.	iv	6.733	6.600	2.600	Someone admitted that something happened.	Someone labelled something.
26	megaacceptability_v2	26	reply	grasp	The director replies that the sample cooled.	The director grasps that the sample cooled.	iv	6.667	6.600	2.600	Someone replied that something happened.	Someone grasped something.
27	megaacceptability_v2	27	observe	appraise	The scientist observes that the price fell.	The scientist appraises that the price fell.	iv	6.667	6.600	2.800	Someone observed that something happened.	Someone appraised something.
28	megaacceptability_v2	28	joke	sign	The driver jokes that the baby sneezed.	The driver signs that the baby sneezed.	iv	6.667	6.600	3.000	Someone joked that something happened.	Someone signed something.
29	megaacceptability_v2	29	document	pick	The chief documents that the visitors arrived.	The chief picks that the visitors arrived.	iv	6.667	6.600	3.200	Someone documented that something happened.	Someone picked something.
30	megaacceptability_v2	30	assume	classify	The friend assumes that the staff rested.	The friend classifies that the staff rested.	iv	6.667	6.600	3.400	Someone assumed that something happened.	Someone classified something.
