phenomenon	figure_stem	label	title	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_choice_word_order	anc_iv_order	anc_tv_order	n_pairs	bad_parse	bad_parse_rate
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	00_sov_gn_ac_b_se	sov	gn	nom-acc	balancing	sent	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	01_sov_gn_ac_b_pa	sov	gn	nom-acc	balancing	poss-acc	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	02_sov_gn_ac_b_ep	sov	gn	nom-acc	balancing	erg-poss	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	03_sov_gn_ac_b_no	sov	gn	nom-acc	balancing	nomn	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	04_sov_gn_ac_d_se	sov	gn	nom-acc	deranking	sent	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	05_sov_gn_ac_d_pa	sov	gn	nom-acc	deranking	poss-acc	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	06_sov_gn_ac_d_ep	sov	gn	nom-acc	deranking	erg-poss	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	07_sov_gn_ac_d_no	sov	gn	nom-acc	deranking	nomn	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	08_sov_gn_er_b_se	sov	gn	erg-abs	balancing	sent	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	09_sov_gn_er_b_pa	sov	gn	erg-abs	balancing	poss-acc	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	10_sov_gn_er_b_ep	sov	gn	erg-abs	balancing	erg-poss	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	11_sov_gn_er_b_no	sov	gn	erg-abs	balancing	nomn	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	12_sov_gn_er_d_se	sov	gn	erg-abs	deranking	sent	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	13_sov_gn_er_d_pa	sov	gn	erg-abs	deranking	poss-acc	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	14_sov_gn_er_d_ep	sov	gn	erg-abs	deranking	erg-poss	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	15_sov_gn_er_d_no	sov	gn	erg-abs	deranking	nomn	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	16_sov_ng_ac_b_se	sov	ng	nom-acc	balancing	sent	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	17_sov_ng_ac_b_pa	sov	ng	nom-acc	balancing	poss-acc	ovs	VS	PVA	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	18_sov_ng_ac_b_ep	sov	ng	nom-acc	balancing	erg-poss	vos	VS	AVP	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	19_sov_ng_ac_b_no	sov	ng	nom-acc	balancing	nomn	ovs	VS	PVA	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	20_sov_ng_ac_d_se	sov	ng	nom-acc	deranking	sent	sov	SV	APV	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	21_sov_ng_ac_d_pa	sov	ng	nom-acc	deranking	poss-acc	ovs	VS	PVA	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	22_sov_ng_ac_d_ep	sov	ng	nom-acc	deranking	erg-poss	vos	VS	AVP	100	0	0.0
1_1_intran_V_form	01_1_1_intran_V_form	fig:heatmap-1-intran-v-form	1.1 Intransitive finite verb form	23_sov_ng_ac_d_no	sov	ng	nom-acc	deranking	nomn	ovs	VS	PVA	100	0	0.0
